Sample_ID,incubation,Timepoint,time,inject_volume_ul,co2_area,HS_ml,T_C,pressure_bar,delta_pressure,delta_13C,CO2_ppm,CO2_HS_ml,CO2_mmol,CO2_umol
T14-3-PE,PE,T14,552,50,62,100,22,1,0,153.98,841.1091665546363,0.08411091665546364,0.0034274682529613783,3.4274682529613782
T14-4-PE,PE,T14,552,50,65.1,100,22,1,0,156.27,883.1646248823681,0.08831646248823681,0.003598841665609447,3.5988416656094473
T14-5-PE,PE,T14,552,50,63.5,100,22,1,0,157.82,861.4585818745066,0.08614585818745067,0.003510390871984638,3.510390871984638
T14-1-PP,PP,T14,552,50,67.8,100,22,1,0,267.87,919.7935724581346,0.09197935724581346,0.003748102379851314,3.7481023798513142
T14-2-PP,PP,T14,552,50,66.1,100,22,1,0,263.6,896.7309017622816,0.08967309017622817,0.0036541234116249533,3.6541234116249535
T14-3-PP,PP,T14,552,50,67.3,100,22,1,0,265.9,913.0104340181779,0.09130104340181779,0.0037204615068435606,3.7204615068435607
T14-4-PP,PP,T14,552,50,67.5,100,22,1,0,266.37,915.7236893941606,0.09157236893941606,0.003731517856046662,3.731517856046662
T14-5-PP,PP,T14,552,50,68.8,100,22,1,0,249.6,933.3598493380481,0.09333598493380481,0.00380338412586682,3.80338412586682
T15-1-PE,PE,T15,600,50,68.8,100,22,1,0,159.63,933.3598493380481,0.09333598493380481,0.00380338412586682,3.80338412586682
T15-2-PE,PE,T15,600,50,69.7,100,22,1,0,162.42,945.5694985299702,0.09455694985299704,0.003853137697280776,3.853137697280776
T15-3-PE,PE,T15,600,50,65.7,100,22,1,0,158.93,891.3043910103163,0.08913043910103163,0.003632010713218751,3.6320107132187514
T15-4-PE,PE,T15,600,50,72.3,100,22,1,0,156.19,980.8418184177452,0.09808418184177453,0.003996870236921091,3.9968702369210907
T15-5-PE,PE,T15,600,50,69.3,100,22,1,0,156.55,940.1429877780048,0.09401429877780049,0.003831024998874573,3.831024998874573
T15-1-PP,PP,T15,600,50,71.2,100,22,1,0,268.26,965.9189138498405,0.09659189138498406,0.003936060316304035,3.936060316304035
T15-2-PP,PP,T15,600,50,74,100,22,1,0,260.95,1003.9044891135983,0.10039044891135983,0.004090849205147452,4.090849205147451
T15-3-PP,PP,T15,600,50,71.3,100,22,1,0,267.2,967.2755415378318,0.09672755415378319,0.0039415884909055855,3.9415884909055854
T15-4-PP,PP,T15,600,50,72.7,100,22,1,0,262.82,986.2683291697108,0.09862683291697108,0.004018982935327294,4.018982935327294
T15-5-PP,PP,T15,600,50,72.7,100,22,1,0,252.75,986.2683291697108,0.09862683291697108,0.004018982935327294,4.018982935327294
T16-1-PE,PE,T16,696,50,69.6,100,22,1,0,155.89,944.2128708419788,0.09442128708419788,0.0038476095226792242,3.847609522679224
T16-2-PE,PE,T16,696,50,69.4,100,22,1,0,158.76,941.4996154659963,0.09414996154659963,0.003836553173476124,3.836553173476124
T16-3-PE,PE,T16,696,50,68.7,100,22,1,0,159.27,932.0032216500568,0.09320032216500569,0.00379785595126527,3.79785595126527
T16-4-PE,PE,T16,696,50,71.8,100,22,1,0,155.4,974.0586799777885,0.09740586799777885,0.003969229363913338,3.969229363913338
T16-5-PE,PE,T16,696,50,70.1,100,22,1,0,153.43,950.9960092819356,0.09509960092819356,0.0038752503956869773,3.8752503956869773
T16-1-PP,PP,T16,696,50,68.3,100,22,1,0,274.91,926.5767108980913,0.09265767108980913,0.0037757432528590664,3.7757432528590664
